Report Number,Offense Number,Related Reports,Date/Time Dispatched,Date/Time Arrived,Incident Type,Incident Code,Force Used,Offense,Crime Class,Offense Flags,Section,Disposition,Domestic Violence,Location Beat,Location Type,Suspect Races,Suspect Juvenile,Suspect Hospitalization,Date/Time Created,Date/Time Last Update
21327048,001,"21327057,21327063,21327078",2021-08-01 00:03:56,2021-08-01 00:05:02,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Pending Further Development,No,178,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-01 00:03:17,2021-08-10 08:42:45
21327061,001,,2021-08-01 00:03:47,2021-08-01 00:03:47,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,455,Hwy/Street/Road/Alley/Sidewalk,Black,No,No,2021-08-01 00:03:47,2021-08-09 09:48:14
21327061,002,,2021-08-01 00:03:47,2021-08-01 00:03:47,,,No,DRIV-LIC REVOKE-PM,PM,None of these Apply,HRS 291E-0062,Adult Arrested / Charged,No,455,Hwy/Street/Road/Alley/Sidewalk,Black,No,No,2021-08-01 00:03:47,2021-08-09 09:48:14
21327094,001,,2021-08-01 00:57:27,2021-08-01 00:59:19,Motor Vehicle Theft,240,No,THEFT 2 - MOPED,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,178,Parking/Drop Lot/Garage,Unknown,Unknown,No,2021-08-01 00:48:48,2021-08-19 12:22:45
21327063,001,"21327048,21327057,21327078",2021-08-01 00:03:56,2021-08-01 00:05:02,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Pending Further Development,No,178,Shelter - Mission/Homeless,Unknown,Unknown,No,2021-08-01 00:03:17,2021-08-10 08:43:22
21327063,002,"21327048,21327057,21327078",2021-08-01 00:03:56,2021-08-01 00:05:02,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Pending Further Development,No,178,Shelter - Mission/Homeless,Unknown,Unknown,No,2021-08-01 00:03:17,2021-08-10 08:43:22
21327064,001,,2021-08-01 00:17:37,2021-08-01 00:19:01,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,462,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-01 00:14:21,2021-08-09 09:52:58
21327061,003,,2021-08-01 00:03:47,2021-08-01 00:03:47,,,No,NO INSURANCE,VL,None of these Apply,HRS 431:10C-0104,Prosecutors / Victim Kokua,No,455,Hwy/Street/Road/Alley/Sidewalk,Black,No,No,2021-08-01 00:03:47,2021-08-09 09:48:14
21327112,001,,2021-08-01 00:43:53,2021-08-01 00:43:53,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,360,Hwy/Street/Road/Alley/Sidewalk,Filipino,No,No,2021-08-01 00:43:53,2021-08-09 10:16:31
21327091,001,,2021-08-01 00:50:48,2021-08-01 00:54:54,Larceny / Theft From Motor Vehicle,23F,No,UEMV 1,FC,None of these Apply,HRS 708-0836.5,Pending Further Development,No,371,Residence/Home,Unknown,Unknown,No,2021-08-01 00:34:06,2021-08-13 14:35:38
21327093,001,,2021-08-01 01:01:15,2021-08-01 01:01:15,Liquor Law Violations,90G,No,C/P LIQ OP VEH,PM,None of these Apply,HRS 291-0003.1,Citation Issued,No,872,Hwy/Street/Road/Alley/Sidewalk,Hawaiian,No,No,2021-08-01 01:01:15,2021-08-01 09:06:23
21327097,001,,2021-08-01 00:16:49,2021-08-01 00:41:30,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Adult Complaint Withdrawn,No,171,Hwy/Street/Road/Alley/Sidewalk,Hawaiian,Unknown,No,2021-08-01 00:13:53,2021-08-01 05:09:10
21327055,001,,2021-08-01 00:07:51,2021-08-01 00:17:07,All Other Offenses,90Z,No,CPD 3,MD,None of these Apply,HRS 708-0822,Pending Further Development,No,858,Residence/Home,Unknown,Unknown,No,2021-08-01 00:06:00,2021-08-16 11:48:55
21327114,002,,2021-08-01 00:35:03,2021-08-01 00:35:03,,,No,DWOL-LICENSING,PM,None of these Apply,HRS 286-0102,Adult Arrested / Charged,No,270,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-01 00:35:03,2021-08-09 10:14:45
21327124,001,,2021-08-01 01:09:52,2021-08-01 01:13:27,Drug/Narcotic Violations,35A,No,PRO DANG DRUG 3,FC,None of these Apply,HRS 712-1243,Adult Arrested / Charged,No,260,Parking/Drop Lot/Garage,Samoan,No,No,2021-08-01 00:46:35,2021-10-08 14:43:06
21327057,001,"21327048,21327063,21327078",2021-08-01 00:03:56,2021-08-01 00:05:02,Weapon Law Violations,520,No,RECK ENDNGR 1,FC,None of these Apply,HRS 707-0713,Pending Further Development,No,178,Bar/Nightclub,Hawaiian,Unknown,No,2021-08-01 00:03:17,2021-09-01 12:24:02
21327161,001,,2021-08-01 01:37:59,2021-08-01 01:43:18,Intimidation,13C,No,TERR THREAT 2,MD,None of these Apply,HRS 707-0717,Adult Complaint Withdrawn,No,867,Residence/Home,Hawaiian,No,No,2021-08-01 01:35:55,2021-08-05 11:33:47
21327171,001,,2021-08-01 01:09:26,2021-08-01 01:10:21,Burglary/Breaking & Entering,220,No,BURGLARY 2,FC,None of these Apply,HRS 708-0811,Pending Further Development,No,176,Other/Unknown - Non Residence,Unknown,Unknown,No,2021-08-01 01:05:41,2021-11-12 07:54:49
21327078,001,"21327048,21327057,21327063",2021-08-01 00:03:56,2021-08-01 00:05:02,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Pending Further Development,No,178,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-01 00:03:17,2021-08-10 08:44:02
21327203,001,,2021-08-01 02:49:44,2021-08-01 02:49:44,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,652,Hwy/Street/Road/Alley/Sidewalk,Black,No,No,2021-08-01 02:49:44,2021-08-09 10:22:52
21327213,001,,2021-08-01 03:06:49,2021-08-01 03:06:49,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,167,Hwy/Street/Road/Alley/Sidewalk,Micronesian,No,No,2021-08-01 03:06:49,2021-08-09 10:34:43
21327084,001,,2021-08-01 00:25:45,,Larceny / All Other Larceny,23H,No,THEFT 4,PM,None of these Apply,HRS 708-0833,Adult Complaint Withdrawn,No,370,Commercial/Office Building,Samoan,No,No,2021-08-01 00:23:53,2021-08-03 21:35:43
